sample_id,fault_type,intensity,mode,file_path
leak+blockage_random_0247,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0247.csv
leak+temp+vib_high_0248,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0248.csv
 blockage+pressure_high_0249, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0249.csv
leak+blockage_random_0250,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0250.csv
leak+temp+vib_high_0251,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0251.csv
 blockage+pressure_high_0252, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0252.csv
leak+blockage_random_0253,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0253.csv
leak+temp+vib_high_0254,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0254.csv
 blockage+pressure_high_0255, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0255.csv
leak+blockage_random_0256,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0256.csv
leak+temp+vib_high_0257,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0257.csv
 blockage+pressure_high_0258, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0258.csv
leak+blockage_random_0259,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0259.csv
leak+temp+vib_high_0260,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0260.csv
 blockage+pressure_high_0261, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0261.csv
leak+blockage_random_0262,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0262.csv
leak+temp+vib_high_0263,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0263.csv
 blockage+pressure_high_0264, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0264.csv
leak+blockage_random_0265,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0265.csv
leak+temp+vib_high_0266,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0266.csv
 blockage+pressure_high_0267, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0267.csv
leak+blockage_random_0268,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0268.csv
leak+temp+vib_high_0269,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0269.csv
 blockage+pressure_high_0270, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0270.csv
leak+blockage_random_0271,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0271.csv
leak+temp+vib_high_0272,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0272.csv
 blockage+pressure_high_0273, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0273.csv
leak+blockage_random_0274,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0274.csv
leak+temp+vib_high_0275,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0275.csv
 blockage+pressure_high_0276, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0276.csv
leak+blockage_random_0277,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0277.csv
leak+temp+vib_high_0278,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0278.csv
 blockage+pressure_high_0279, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0279.csv
leak+blockage_random_0280,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0280.csv
leak+temp+vib_high_0281,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0281.csv
 blockage+pressure_high_0282, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0282.csv
leak+blockage_random_0283,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0283.csv
leak+temp+vib_high_0284,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0284.csv
 blockage+pressure_high_0285, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0285.csv
leak+blockage_random_0286,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0286.csv
leak+temp+vib_high_0287,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0287.csv
 blockage+pressure_high_0288, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0288.csv
leak+blockage_random_0289,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0289.csv
leak+temp+vib_high_0290,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0290.csv
 blockage+pressure_high_0291, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0291.csv
leak+blockage_random_0292,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0292.csv
leak+temp+vib_high_0293,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0293.csv
 blockage+pressure_high_0294, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0294.csv
leak+blockage_random_0295,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0295.csv
leak+temp+vib_high_0296,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0296.csv
 blockage+pressure_high_0297, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0297.csv
leak+blockage_random_0298,leak+blockage,random,high,synthetic_data\combined_faults\leak+blockage_random_high_0298.csv
leak+temp+vib_high_0299,leak+temp+vib,high,random,synthetic_data\combined_faults\leak+temp+vib_high_random_0299.csv
 blockage+pressure_high_0300, blockage+pressure,high,random,synthetic_data\combined_faults\ blockage+pressure_high_random_0300.csv
leak+blockage_recover_0301,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0301.csv
leak+temp+vib_low_0302,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0302.csv
 blockage+pressure_low_0303, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0303.csv
leak+blockage_recover_0304,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0304.csv
leak+temp+vib_low_0305,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0305.csv
 blockage+pressure_low_0306, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0306.csv
leak+blockage_recover_0307,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0307.csv
leak+temp+vib_low_0308,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0308.csv
 blockage+pressure_low_0309, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0309.csv
leak+blockage_recover_0310,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0310.csv
leak+temp+vib_low_0311,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0311.csv
 blockage+pressure_low_0312, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0312.csv
leak+blockage_recover_0313,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0313.csv
leak+temp+vib_low_0314,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0314.csv
 blockage+pressure_low_0315, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0315.csv
leak+blockage_recover_0316,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0316.csv
leak+temp+vib_low_0317,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0317.csv
 blockage+pressure_low_0318, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0318.csv
leak+blockage_recover_0319,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0319.csv
leak+temp+vib_low_0320,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0320.csv
 blockage+pressure_low_0321, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0321.csv
leak+blockage_recover_0322,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0322.csv
leak+temp+vib_low_0323,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0323.csv
 blockage+pressure_low_0324, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0324.csv
leak+blockage_recover_0325,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0325.csv
leak+temp+vib_low_0326,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0326.csv
 blockage+pressure_low_0327, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0327.csv
leak+blockage_recover_0328,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0328.csv
leak+temp+vib_low_0329,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0329.csv
 blockage+pressure_low_0330, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0330.csv
leak+blockage_recover_0331,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0331.csv
leak+temp+vib_low_0332,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0332.csv
 blockage+pressure_low_0333, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0333.csv
leak+blockage_recover_0334,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0334.csv
leak+temp+vib_low_0335,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0335.csv
 blockage+pressure_low_0336, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0336.csv
leak+blockage_recover_0337,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0337.csv
leak+temp+vib_low_0338,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0338.csv
 blockage+pressure_low_0339, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0339.csv
leak+blockage_recover_0340,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0340.csv
leak+temp+vib_low_0341,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0341.csv
 blockage+pressure_low_0342, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0342.csv
leak+blockage_recover_0343,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0343.csv
leak+temp+vib_low_0344,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0344.csv
 blockage+pressure_low_0345, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0345.csv
leak+blockage_recover_0346,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0346.csv
leak+temp+vib_low_0347,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0347.csv
 blockage+pressure_low_0348, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0348.csv
leak+blockage_recover_0349,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0349.csv
leak+temp+vib_low_0350,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0350.csv
 blockage+pressure_low_0351, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0351.csv
leak+blockage_recover_0352,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0352.csv
leak+temp+vib_low_0353,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0353.csv
 blockage+pressure_low_0354, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0354.csv
leak+blockage_recover_0355,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0355.csv
leak+temp+vib_low_0356,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0356.csv
 blockage+pressure_low_0357, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0357.csv
leak+blockage_recover_0358,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0358.csv
leak+temp+vib_low_0359,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0359.csv
 blockage+pressure_low_0360, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0360.csv
leak+blockage_recover_0361,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0361.csv
leak+temp+vib_low_0362,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0362.csv
 blockage+pressure_low_0363, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0363.csv
leak+blockage_recover_0364,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0364.csv
leak+temp+vib_low_0365,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0365.csv
 blockage+pressure_low_0366, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0366.csv
leak+blockage_recover_0367,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0367.csv
leak+temp+vib_low_0368,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0368.csv
 blockage+pressure_low_0369, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0369.csv
leak+blockage_recover_0370,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0370.csv
leak+temp+vib_low_0371,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0371.csv
 blockage+pressure_low_0372, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0372.csv
leak+blockage_recover_0373,leak+blockage,recover,low,synthetic_data\combined_faults\leak+blockage_recover_low_0373.csv
leak+temp+vib_low_0374,leak+temp+vib,low,recover,synthetic_data\combined_faults\leak+temp+vib_low_recover_0374.csv
 blockage+pressure_low_0375, blockage+pressure,low,recover,synthetic_data\combined_faults\ blockage+pressure_low_recover_0375.csv
leak+blockage_recover_0376,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0376.csv
leak+temp+vib_high_0377,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0377.csv
 blockage+pressure_high_0378, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0378.csv
leak+blockage_recover_0379,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0379.csv
leak+temp+vib_high_0380,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0380.csv
 blockage+pressure_high_0381, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0381.csv
leak+blockage_recover_0382,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0382.csv
leak+temp+vib_high_0383,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0383.csv
 blockage+pressure_high_0384, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0384.csv
leak+blockage_recover_0385,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0385.csv
leak+temp+vib_high_0386,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0386.csv
 blockage+pressure_high_0387, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0387.csv
leak+blockage_recover_0388,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0388.csv
leak+temp+vib_high_0389,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0389.csv
 blockage+pressure_high_0390, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0390.csv
leak+blockage_recover_0391,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0391.csv
leak+temp+vib_high_0392,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0392.csv
 blockage+pressure_high_0393, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0393.csv
leak+blockage_recover_0394,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0394.csv
leak+temp+vib_high_0395,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0395.csv
 blockage+pressure_high_0396, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0396.csv
leak+blockage_recover_0397,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0397.csv
leak+temp+vib_high_0398,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0398.csv
 blockage+pressure_high_0399, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0399.csv
leak+blockage_recover_0400,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0400.csv
leak+temp+vib_high_0401,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0401.csv
 blockage+pressure_high_0402, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0402.csv
leak+blockage_recover_0403,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0403.csv
leak+temp+vib_high_0404,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0404.csv
 blockage+pressure_high_0405, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0405.csv
leak+blockage_recover_0406,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0406.csv
leak+temp+vib_high_0407,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0407.csv
 blockage+pressure_high_0408, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0408.csv
leak+blockage_recover_0409,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0409.csv
leak+temp+vib_high_0410,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0410.csv
 blockage+pressure_high_0411, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0411.csv
leak+blockage_recover_0412,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0412.csv
leak+temp+vib_high_0413,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0413.csv
 blockage+pressure_high_0414, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0414.csv
leak+blockage_recover_0415,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0415.csv
leak+temp+vib_high_0416,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0416.csv
 blockage+pressure_high_0417, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0417.csv
leak+blockage_recover_0418,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0418.csv
leak+temp+vib_high_0419,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0419.csv
 blockage+pressure_high_0420, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0420.csv
leak+blockage_recover_0421,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0421.csv
leak+temp+vib_high_0422,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0422.csv
 blockage+pressure_high_0423, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0423.csv
leak+blockage_recover_0424,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0424.csv
leak+temp+vib_high_0425,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0425.csv
 blockage+pressure_high_0426, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0426.csv
leak+blockage_recover_0427,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0427.csv
leak+temp+vib_high_0428,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0428.csv
 blockage+pressure_high_0429, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0429.csv
leak+blockage_recover_0430,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0430.csv
leak+temp+vib_high_0431,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0431.csv
 blockage+pressure_high_0432, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0432.csv
leak+blockage_recover_0433,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0433.csv
leak+temp+vib_high_0434,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0434.csv
 blockage+pressure_high_0435, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0435.csv
leak+blockage_recover_0436,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0436.csv
leak+temp+vib_high_0437,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0437.csv
 blockage+pressure_high_0438, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0438.csv
leak+blockage_recover_0439,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0439.csv
leak+temp+vib_high_0440,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0440.csv
 blockage+pressure_high_0441, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0441.csv
leak+blockage_recover_0442,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0442.csv
leak+temp+vib_high_0443,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0443.csv
 blockage+pressure_high_0444, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0444.csv
leak+blockage_recover_0445,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0445.csv
leak+temp+vib_high_0446,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0446.csv
 blockage+pressure_high_0447, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0447.csv
leak+blockage_recover_0448,leak+blockage,recover,high,synthetic_data\combined_faults\leak+blockage_recover_high_0448.csv
leak+temp+vib_high_0449,leak+temp+vib,high,recover,synthetic_data\combined_faults\leak+temp+vib_high_recover_0449.csv
 blockage+pressure_high_0450, blockage+pressure,high,recover,synthetic_data\combined_faults\ blockage+pressure_high_recover_0450.csv
